"","pop","outcome","exposure","label","gamma","alpha","beta"
"1","All","Latent Internalizing","Threat","Reward Sensitivity (RT contrast)","0.16(0.03,0.29)*","-0.18(-0.32,-0.04)*","-0.15(-0.27,-0.03)*"
"2","All","Latent Internalizing","Threat","Tanner Stage","0.16(0.03,0.29)*","0.02(-0.11,0.15)","0.19(0.06,0.32)**"
"3","All","Latent Internalizing","Deprivation","Reward Sensitivity (RT contrast)","0.3(0.16,0.44)***","-0.08(-0.23,0.07)","-0.15(-0.27,-0.03)*"
"4","All","Latent Internalizing","Deprivation","Tanner Stage","0.3(0.16,0.44)***","-0.13(-0.27,0.01)","0.19(0.06,0.32)**"
"5","All","Latent Externalizing","Threat","Reward Sensitivity (RT contrast)","0.27(0.14,0.4)***","-0.18(-0.32,-0.04)*","-0.05(-0.17,0.07)"
"6","All","Latent Externalizing","Threat","Tanner Stage","0.27(0.14,0.4)***","0.02(-0.11,0.15)","0.2(0.07,0.33)**"
"7","All","Latent Exnternalizing","Deprivation","Reward Sensitivity (RT contrast)","0.21(0.07,0.35)**","-0.08(-0.23,0.07)","-0.05(-0.17,0.07)"
"8","All","Latent Exnternalizing","Deprivation","Tanner Stage","0.21(0.07,0.35)**","-0.13(-0.27,0.01)","0.2(0.07,0.33)**"
